,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
dehaze_time,0.990674734,0.922673941,0.834530354,0.829961538,0.840295792,0.860231638,0.856456041,0.852380991,0.836620331,0.82716012,0.861007214,0.845888615,0.844408274,0.844848156,0.846770048,0.848430872,0.851019144,0.863676548,0.838639736,0.849618196,0.852422714,0.865582943,0.858259201,0.842020035,0.83295536,0.850753307,0.847680569,0.838731766,0.832355022,0.854101419,0.851382732,0.86521554,0.834232569,0.822835922,0.846590042,0.856787443,0.841149569,0.848835707,0.865366936,0.862615824,0.843524218,0.855492353,0.828538179,0.833732605,0.839009523,0.823741198,0.852108717,0.839519978,0.828295708,0.845725298,0.849361897,0.825808525,0.853577375,0.85602808,0.849737167,0.852838755,0.842936039,0.837326288,0.849693298,0.829884291,0.846579075,0.859177828,0.840276241,0.844112158,0.859820843,0.843640089,0.844924688,0.854004145,0.846234322,0.863846302,0.839870691,0.830805302,0.85628581,0.836673498,0.846418619,0.821810722,0.848010778,0.846562386,0.858122349,0.854784966,0.847280502,0.849351168,0.852923393,0.842906237,0.831580639,0.849213362,0.831532717,0.837549925,0.853918076,0.849823475,0.84640336,0.857878923,0.823584795,0.841477156,0.857242107,0.835498095,0.843862772,0.840474606,0.838852167,0.852416277,0.84777777
extract_time,0.485975504,0.422890186,0.438057184,0.466972828,0.415392876,0.467408895,0.497930288,0.431090355,0.420379162,0.433760643,0.404613495,0.424274921,0.516554117,0.510749102,0.419395447,0.517926216,0.492280722,0.471495152,0.425050735,0.419963598,0.516609907,0.430878878,0.419207096,0.465664148,0.439057827,0.453091621,0.447713614,0.429473877,0.394663811,0.411451578,0.476608276,0.424533367,0.402534485,0.422971487,0.418089628,0.416315079,0.423501492,0.515657663,0.469128132,0.427990913,0.429749012,0.481557608,0.437734842,0.430894136,0.429670811,0.418684244,0.434385538,0.401288748,0.433546543,0.519595385,0.414321899,0.443018675,0.466976166,0.438937187,0.425316811,0.407425404,0.442792177,0.430613995,0.48613596,0.509334087,0.475423813,0.462299824,0.405516148,0.413106441,0.463862419,0.45273757,0.41169405,0.511930943,0.497395277,0.434179783,0.47952342,0.421544552,0.434957504,0.426958084,0.4996593,0.43329668,0.47987318,0.47882247,0.484310389,0.455868721,0.437653303,0.450311184,0.433019638,0.47030139,0.401253462,0.45345211,0.492465734,0.416072845,0.464585304,0.423929214,0.426533937,0.473864794,0.417411089,0.52587986,0.513415575,0.421713352,0.447238445,0.467125893,0.426295996,0.487686634,0.449424539
match_time,0.122997284,0.029469728,0.171993256,0.333349943,0.032240391,0.24701786,0.871730804,0.109126091,0.083178759,0.065884352,0.02714324,0.138950109,1.01237464,0.889136314,0.053192854,1.095118999,0.67214179,0.432737589,0.086120367,0.064823866,1.252032518,0.107720852,0.061998606,0.413709641,0.098201513,0.26627326,0.231241465,0.081984043,0.026198864,0.030564547,0.49790597,0.076942921,0.014162779,0.062359095,0.049759865,0.070871353,0.088671684,0.909116745,0.351474524,0.054829121,0.085859299,0.462541342,0.087991476,0.160577059,0.148424149,0.055611849,0.058310032,0.069033861,0.094736099,1.189315796,0.074522495,0.155755043,0.465621948,0.212107897,0.097120047,0.073635817,0.096637726,0.087745667,0.742545843,1.082487822,0.316919088,0.321525335,0.038291454,0.053369999,0.272820473,0.251636744,0.035506487,0.903218746,0.721071959,0.05180192,0.149349928,0.084149599,0.126196384,0.098583221,0.64550209,0.065412283,0.478193283,0.270800114,0.474922895,0.282940626,0.147536993,0.181566954,0.117844343,0.443530798,0.014161825,0.259663343,0.614425898,0.086793423,0.336121798,0.088027954,0.06693387,0.389821529,0.058817625,1.195626497,0.800756931,0.069488525,0.188177824,0.292117834,0.08694768,0.460801601,0.283267047
ransac_time,0.006031752,0.002172709,0.003068447,0.008020878,0.001601934,0.003016472,0.012145758,0.005001068,0.001996994,0.001999617,0.003173828,0.007276058,0.012171268,0.00712657,0.003000259,0.008147001,0.012206793,0.002116203,0.002008915,0.004150629,0.006117582,0.003068924,0.003722429,0.006158829,0.003999233,0.043295383,0.001999855,0.001956463,0.003034592,0.002108574,0.026263237,0.001999855,0.002177954,0.006998777,0.001998901,0.002000332,0.00301981,0.00709939,0.043484449,0.004109383,0.00442338,0.046980858,0.002099991,0.002647877,0.042925596,0.001174927,0.005023241,0.002999544,0.002066612,0.009993076,0.005514383,0.00209856,0.007074594,0.003082991,0.002000093,0.006152868,0.027595758,0.004128218,0.007022381,0.005074739,0.045182943,0.018067122,0.003007412,0.002116203,0.044489622,0.043529987,0.002000093,0.007113934,0.00607419,0.002000332,0.045755386,0.00217104,0.002000332,0.003171921,0.004091978,0.001003981,0.009144068,0.013089418,0.048331499,0.004076958,0.006129742,0.002007484,0.002000332,0.050129414,0.004062176,0.002991438,0.006087065,0.002179384,0.046530008,0.020162821,0.000996113,0.002999067,0.003000021,0.016783714,0.005075216,0.000999451,0.002933025,0.039152861,0.003002405,0.012192965,0.010069599
totol_time,1.605679274,1.377206564,1.44764924,1.638305187,1.289530993,1.577674866,2.238262892,1.397598505,1.342175245,1.328804731,1.295937777,1.416389704,2.385508299,2.251860142,1.322358608,2.469623089,2.027648449,1.770025492,1.351819754,1.33855629,2.627182722,1.407251596,1.343187332,1.727552652,1.374213934,1.613413572,1.528635502,1.352146149,1.256252289,1.298226118,1.852160215,1.368691683,1.253107786,1.315165281,1.316438437,1.345974207,1.356342554,2.280709505,1.729454041,1.34954524,1.363555908,1.846572161,1.356364489,1.427851677,1.460030079,1.299212217,1.349827528,1.312842131,1.358644962,2.564629555,1.343720675,1.426680803,1.793250084,1.510156155,1.374174118,1.340052843,1.4099617,1.359814167,2.085397482,2.426780939,1.684104919,1.661070108,1.287091255,1.312704802,1.640993357,1.59154439,1.294125319,2.276267767,2.070775747,1.351828337,1.514499426,1.338670492,1.419440031,1.365386724,1.995671988,1.321523666,1.81522131,1.609274387,1.865687132,1.59767127,1.43860054,1.48323679,1.405787706,1.806867838,1.251058102,1.565320253,1.944511414,1.342595577,1.701155186,1.381943464,1.340867281,1.724564314,1.30281353,2.579767227,2.17648983,1.327699423,1.482212067,1.638871193,1.355098248,1.813097477,1.590538955
inlier,726,97,498,1276,512,1326,1777,576,592,518,434,683,1638,1801,283,2095,1041,1172,360,545,465,322,710,1285,45,142,1144,604,82,431,1115,688,99,35,237,623,411,834,173,574,441,378,294,381,367,502,355,518,390,2428,566,284,1435,1203,206,478,57,418,1843,446,382,685,235,420,285,298,541,2135,876,259,342,690,660,596,726,174,1126,669,393,1139,744,897,636,686,83,1167,1760,723,213,53,715,1054,515,2021,792,189,610,141,550,1337,684.76
ratios,0.399339934,0.455399061,0.444642857,0.360350184,0.476722533,0.485714286,0.33847619,0.434716981,0.492512479,0.467931346,0.44742268,0.356471816,0.341748383,0.399955585,0.462418301,0.381463948,0.335049887,0.522980812,0.50069541,0.434262948,0.36963434,0.478454681,0.461038961,0.387048193,0.398230088,0.096271186,0.496312364,0.472243941,0.41,0.48372615,0.279729052,0.475795297,0.487684729,0.336538462,0.491701245,0.479230769,0.470790378,0.376353791,0.081758034,0.437166794,0.424855491,0.122966818,0.445454545,0.458483755,0.171335201,0.526205451,0.384615385,0.476979742,0.471014493,0.385519212,0.383989145,0.508960573,0.374869383,0.485864297,0.494004796,0.367127496,0.259090909,0.393967955,0.401175446,0.383820998,0.184808902,0.287452791,0.414462081,0.48,0.133802817,0.153292181,0.473315836,0.390096839,0.392649036,0.544117647,0.175564682,0.501089325,0.523809524,0.435991222,0.424313267,0.57807309,0.350015542,0.306880734,0.125159236,0.448072384,0.377664975,0.494487321,0.542199488,0.18651441,0.415,0.491161616,0.413631022,0.474409449,0.085473515,0.261083744,0.516992046,0.506974507,0.476851852,0.317567568,0.410575428,0.574468085,0.486055777,0.105855856,0.497737557,0.331104507,0.39717061
